id,key,value,type
95900448,created_by,JOSM,node
95900525,created_by,JOSM,node
95901353,created_by,JOSM,node
95902211,created_by,JOSM,node
95902401,created_by,JOSM,node
95902609,created_by,JOSM,node
95903631,created_by,JOSM,node
95905150,created_by,JOSM,node
95906176,created_by,JOSM,node
95906220,created_by,JOSM,node
95906721,created_by,JOSM,node
95907065,created_by,JOSM,node
95907768,created_by,JOSM,node
95908075,created_by,JOSM,node
95909544,created_by,JOSM,node
95910539,created_by,JOSM,node
95910680,created_by,JOSM,node
95911662,created_by,JOSM,node
95911824,created_by,JOSM,node
95912231,created_by,JOSM,node
95912604,created_by,JOSM,node
95912779,created_by,JOSM,node
95912786,created_by,JOSM,node
95913586,created_by,JOSM,node
95913738,created_by,JOSM,node
95914090,created_by,JOSM,node
95914376,created_by,JOSM,node
95914432,created_by,JOSM,node
95914531,created_by,JOSM,node
95932597,created_by,JOSM,node
95932740,created_by,JOSM,node
95932743,created_by,JOSM,node
95932838,created_by,JOSM,node
95933126,created_by,JOSM,node
95933168,created_by,JOSM,node
95933643,created_by,JOSM,node
95933680,created_by,JOSM,node
95934009,created_by,JOSM,node
95934463,created_by,JOSM,node
95934740,created_by,JOSM,node
95934744,created_by,JOSM,node
95934974,created_by,JOSM,node
95935202,created_by,JOSM,node
95935248,created_by,JOSM,node
95935377,created_by,JOSM,node
95935470,created_by,JOSM,node
95935590,created_by,JOSM,node
95935954,created_by,JOSM,node
95936101,created_by,JOSM,node
95936154,created_by,JOSM,node
95936171,created_by,JOSM,node
95936281,created_by,JOSM,node
95936633,created_by,JOSM,node
95936674,created_by,JOSM,node
95937412,created_by,JOSM,node
95937452,created_by,JOSM,node
95938387,created_by,JOSM,node
95938421,created_by,JOSM,node
95938921,created_by,JOSM,node
95938955,created_by,JOSM,node
95939055,created_by,JOSM,node
95939072,created_by,JOSM,node
95939424,created_by,JOSM,node
95939634,created_by,JOSM,node
95939663,created_by,JOSM,node
95939769,created_by,JOSM,node
95939839,created_by,JOSM,node
95939854,created_by,JOSM,node
95940108,created_by,JOSM,node
95940297,created_by,JOSM,node
95940822,created_by,JOSM,node
95940891,created_by,JOSM,node
95941361,created_by,JOSM,node
95942670,created_by,JOSM,node
95942756,created_by,JOSM,node
95942844,created_by,JOSM,node
95943224,created_by,JOSM,node
95943927,created_by,JOSM,node
95944113,created_by,JOSM,node
95944171,created_by,JOSM,node
95944280,created_by,JOSM,node
95944377,created_by,JOSM,node
95944552,created_by,JOSM,node
95944662,created_by,JOSM,node
95944756,created_by,JOSM,node
95944776,created_by,JOSM,node
95944880,created_by,JOSM,node
95944881,created_by,JOSM,node
95945182,created_by,JOSM,node
95945247,created_by,JOSM,node
95945274,created_by,JOSM,node
95945412,created_by,JOSM,node
95945561,created_by,JOSM,node
95945688,created_by,JOSM,node
95945925,created_by,JOSM,node
95945990,created_by,JOSM,node
95946330,created_by,JOSM,node
95946430,created_by,JOSM,node
95946734,created_by,JOSM,node
95946860,created_by,JOSM,node
95947045,created_by,JOSM,node
95947151,created_by,JOSM,node
95947249,created_by,JOSM,node
95947544,created_by,JOSM,node
95947714,created_by,JOSM,node
95947805,created_by,JOSM,node
95947873,created_by,JOSM,node
262523382,highway,speed_camera,node
262523382,maxspeed,50,node
262523399,bus,yes,node
262523399,public_transport,stop_position,node
262523853,crossing,island,node
262523853,crossing_ref,zebra,node
262523853,highway,crossing,node
262550033,crossing,island,node
262550033,crossing_ref,zebra,node
262550033,highway,crossing,node
262550518,is_in,Blumenau,node
262550518,name,Garcia,node
262550518,place,suburb,node
262551964,name,Fortaleza,node
262551964,place,suburb,node
262555164,crossing,island,node
262555164,crossing_ref,zebra,node
262555164,highway,crossing,node
262555370,crossing,island,node
262555370,crossing_ref,zebra,node
262555370,highway,crossing,node
262556272,name,Itoupavazinha,node
262556272,place,suburb,node
267246759,distance,66,node
267246759,highway,milestone,node
267246759,ref,BR-470,node
267246764,highway,speed_camera,node
267246764,maxspeed,80,node
267246764,note,Validade: 03/05/2016,node
267246772,highway,speed_camera,node
267246772,maxspeed,80,node
267246772,note,Validade: 08/04/2016,node
272504793,is_in,Santa Catarina,node
272504793,name,Timbó,node
272504793,place,town,node
272504793,population,35303,node
272504793,wikidata,Q773783,node
273210744,name,Belchior Central,node
273210744,place,suburb,node
273217487,traffic_calming,table,node
273218575,power,tower,node
273218576,power,tower,node
277305186,crossing,uncontrolled,node
277305186,crossing_ref,zebra,node
277305186,highway,crossing,node
277305196,crossing,uncontrolled,node
277305196,crossing_ref,zebra,node
277305196,highway,crossing,node
277305201,crossing,island,node
277305201,crossing_ref,zebra,node
277305201,highway,crossing,node
278575905,crossing,uncontrolled,node
278575905,crossing_ref,zebra,node
278575905,highway,crossing,node
278583315,crossing,uncontrolled,node
278583315,crossing_ref,zebra,node
278583315,highway,crossing,node
296149078,crossing,uncontrolled,node
296149078,crossing_ref,zebra,node
296149078,highway,crossing,node
296149078,traffic_calming,table,node
419519250,button_operated,no,node
419519250,crossing,uncontrolled,node
419519250,crossing_ref,zebra,node
419519250,direction,forward,node
419519250,highway,crossing,node
419519250,side,both,node
419519250,supervised,"Mo-Fr 09:00-18:00,Sa 08:00-14:00",node
419519250,tactile_paving,yes,node
419519250,traffic_signals:sound,no,node
419519254,button_operated,yes,node
419519254,crossing,traffic_signals,node
419519254,crossing_ref,zebra,node
419519254,highway,traffic_signals,node
419519254,supervised,no,node
419519254,tactile_paving,yes,node
419519254,traffic_signals:sound,no,node
535020115,flag,http://upload.wikimedia.org/wikipedia/commons/7/79/Blumenau_bandeira.jpg,node
535020115,is_in,Santa Catarina,node
