id,user,uid,version,changeset,timestamp
10780861,adrianojbr,2339960,8,49642450,2017-06-18T19:37:00Z
10780972,adrianojbr,2339960,10,49642450,2017-06-18T19:37:01Z
10781043,adrianojbr,2339960,7,41204920,2016-08-03T00:22:55Z
10781049,adrianojbr,2339960,8,49642450,2017-06-18T19:37:01Z
24249937,Victor 2015,2622158,29,57915966,2018-04-08T15:29:08Z
24250046,adrianojbr,2339960,24,52105234,2017-09-16T21:26:43Z
24250059,adrianojbr,2339960,19,52105234,2017-09-16T21:26:43Z
24250256,adrianojbr,2339960,15,52115705,2017-09-17T11:53:17Z
24250774,adrianojbr,2339960,24,52105234,2017-09-16T21:26:43Z
24250809,Victor 2015,2622158,15,57918281,2018-04-08T17:15:46Z
25101656,adrianojbr,2339960,12,33278634,2015-08-11T21:20:49Z
25102117,Victor 2015,2622158,12,54063570,2017-11-25T03:01:33Z
25558539,adrianojbr,2339960,10,49642450,2017-06-18T19:37:02Z
25558622,adrianojbr,2339960,7,54309681,2017-12-03T21:06:29Z
35894592,adrianojbr,2339960,20,65108457,2018-12-02T23:32:10Z
35894593,adrianojbr,2339960,18,52105234,2017-09-16T21:26:43Z
35894594,adrianojbr,2339960,13,52105234,2017-09-16T21:26:44Z
35894595,poeiradasestrelas,4834210,11,54759943,2017-12-19T13:34:46Z
35894596,adrianojbr,2339960,18,52105234,2017-09-16T21:26:44Z
42785950,adrianojbr,2339960,12,59254476,2018-05-24T22:14:12Z
42786090,adrianojbr,2339960,5,49642450,2017-06-18T19:37:04Z
42786251,adrianojbr,2339960,8,49642450,2017-06-18T19:37:05Z
42786411,Victor 2015,2622158,6,54109330,2017-11-27T01:54:37Z
42786462,Tomio,1875819,7,61176358,2018-07-29T23:29:06Z
48000607,adrianojbr,2339960,7,49642450,2017-06-18T19:37:06Z
48000612,adrianojbr,2339960,18,52342617,2017-09-25T02:21:08Z
48000614,adrianojbr,2339960,7,49643167,2017-06-18T20:11:45Z
48000615,adrianojbr,2339960,7,49642450,2017-06-18T19:37:07Z
48000616,adrianojbr,2339960,9,49642450,2017-06-18T19:37:07Z
48000617,adrianojbr,2339960,12,58600336,2018-05-02T02:42:17Z
48000618,adrianojbr,2339960,31,52581171,2017-10-02T23:38:17Z
51432009,adrianojbr,2339960,30,52105234,2017-09-16T21:26:45Z
51432011,adrianojbr,2339960,14,49642450,2017-06-18T19:37:09Z
51432017,adrianojbr,2339960,11,57498602,2018-03-25T00:51:04Z
51653369,adrianojbr,2339960,25,57891523,2018-04-07T13:28:11Z
51714936,André Alvarenga,94659,27,61641124,2018-08-13T23:05:27Z
51714938,adrianojbr,2339960,30,59048778,2018-05-17T12:21:24Z
51714940,adrianojbr,2339960,23,53853363,2017-11-16T19:41:00Z
51714941,adrianojbr,2339960,40,52105234,2017-09-16T21:26:45Z
51714944,poeiradasestrelas,4834210,25,54405601,2017-12-06T16:07:03Z
51714946,adrianojbr,2339960,31,64830979,2018-11-23T19:54:45Z
51714949,André Alvarenga,94659,20,67907540,2019-03-08T02:52:43Z
51714951,poeiradasestrelas,4834210,41,55057743,2017-12-31T13:11:30Z
51714952,adrianojbr,2339960,19,54192802,2017-11-30T01:01:49Z
51714954,adrianojbr,2339960,12,59185769,2018-05-22T16:46:19Z
51714956,adrianojbr,2339960,23,52105234,2017-09-16T21:26:47Z
51835268,adrianojbr,2339960,14,59351952,2018-05-28T22:00:56Z
51835269,André Alvarenga,94659,19,66263542,2019-01-13T00:22:58Z
51965767,adrianojbr,2339960,24,52105234,2017-09-16T21:26:47Z
51966897,André Alvarenga,94659,36,67864093,2019-03-07T00:46:22Z
51966902,adrianojbr,2339960,18,52105234,2017-09-16T21:26:47Z
51966903,adrianojbr,2339960,12,57228787,2018-03-16T01:45:42Z
51968507,adrianojbr,2339960,11,49642450,2017-06-18T19:37:12Z
51968712,adrianojbr,2339960,19,54715649,2017-12-17T22:29:01Z
51968713,adrianojbr,2339960,20,52581171,2017-10-02T23:38:18Z
52014872,André Alvarenga,94659,33,59886472,2018-06-16T00:52:39Z
52014874,poeiradasestrelas,4834210,29,54417134,2017-12-06T23:30:35Z
52014876,poeiradasestrelas,4834210,20,55500318,2018-01-16T17:43:53Z
52014877,adrianojbr,2339960,18,57892215,2018-04-07T14:02:38Z
52014878,adrianojbr,2339960,25,64715745,2018-11-20T22:04:55Z
52014879,adrianojbr,2339960,18,59488216,2018-06-02T15:33:31Z
52014882,adrianojbr,2339960,17,64845389,2018-11-24T14:21:11Z
52014883,adrianojbr,2339960,6,51893169,2017-09-09T22:16:55Z
52014884,poeiradasestrelas,4834210,18,55500318,2018-01-16T17:43:52Z
52014885,adrianojbr,2339960,19,51893169,2017-09-09T22:16:55Z
52014886,André Alvarenga,94659,14,62008581,2018-08-26T14:47:35Z
52014887,adrianojbr,2339960,20,54367778,2017-12-05T14:53:22Z
52014889,André Alvarenga,94659,14,61069789,2018-07-25T22:24:08Z
52014890,adrianojbr,2339960,19,52105234,2017-09-16T21:26:50Z
52014891,adrianojbr,2339960,17,52105234,2017-09-16T21:26:50Z
52014892,André Alvarenga,94659,37,65729027,2018-12-24T03:34:26Z
52015133,adrianojbr,2339960,25,52105234,2017-09-16T21:26:51Z
52015135,adrianojbr,2339960,12,52105234,2017-09-16T21:26:51Z
52054154,adrianojbr,2339960,23,59033471,2018-05-17T00:42:12Z
52054157,adrianojbr,2339960,18,58390324,2018-04-24T21:59:55Z
52054158,adrianojbr,2339960,8,52105234,2017-09-16T21:26:51Z
52054159,adrianojbr,2339960,11,52105234,2017-09-16T21:26:52Z
52054160,adrianojbr,2339960,22,59034427,2018-05-17T02:33:12Z
52054161,adrianojbr,2339960,17,58685409,2018-05-04T16:58:01Z
52054162,adrianojbr,2339960,15,52105234,2017-09-16T21:26:52Z
52054164,adrianojbr,2339960,19,52105234,2017-09-16T21:26:52Z
52054165,adrianojbr,2339960,14,58685409,2018-05-04T16:58:01Z
52054166,André Alvarenga,94659,17,67865353,2019-03-07T01:58:51Z
52054167,adrianojbr,2339960,11,51893169,2017-09-09T22:16:59Z
52054168,adrianojbr,2339960,9,57892215,2018-04-07T14:02:39Z
52135689,adrianojbr,2339960,8,52105234,2017-09-16T21:26:52Z
52136330,André Alvarenga,94659,46,66039702,2019-01-05T04:35:35Z
52136331,adrianojbr,2339960,16,60157018,2018-06-25T17:01:14Z
52136332,adrianojbr,2339960,33,53910608,2017-11-18T20:30:34Z
52136333,André Alvarenga,94659,15,55174906,2018-01-05T02:28:49Z
52136334,adrianojbr,2339960,37,60723453,2018-07-15T01:40:10Z
52136336,André Alvarenga,94659,20,62199322,2018-09-01T14:41:27Z
52136338,André Alvarenga,94659,21,61571284,2018-08-11T17:59:51Z
52136339,adrianojbr,2339960,23,52105234,2017-09-16T21:26:54Z
52136342,adrianojbr,2339960,19,52105234,2017-09-16T21:26:54Z
52136344,adrianojbr,2339960,19,52105234,2017-09-16T21:26:54Z
52136345,André Alvarenga,94659,40,56166601,2018-02-08T02:28:07Z
52136346,adrianojbr,2339960,18,54669827,2017-12-16T01:34:26Z
52136347,adrianojbr,2339960,13,52105234,2017-09-16T21:26:55Z
52136348,adrianojbr,2339960,18,52105234,2017-09-16T21:26:55Z
52136603,adrianojbr,2339960,34,56920676,2018-03-06T02:26:47Z
52136604,adrianojbr,2339960,28,59353547,2018-05-29T00:16:00Z
52136606,adrianojbr,2339960,42,58665348,2018-05-04T02:13:15Z
52136607,adrianojbr,2339960,10,57897240,2018-04-07T18:01:36Z
52136608,André Alvarenga,94659,12,61032683,2018-07-24T18:04:37Z
52136609,adrianojbr,2339960,15,59448423,2018-06-01T03:42:39Z
52174573,adrianojbr,2339960,15,53781697,2017-11-14T19:52:30Z
52174574,adrianojbr,2339960,11,53856148,2017-11-16T21:33:24Z
52237984,adrianojbr,2339960,47,59057195,2018-05-17T17:09:23Z
52238004,André Alvarenga,94659,16,59825924,2018-06-13T22:16:47Z
52238006,adrianojbr,2339960,13,37027920,2016-02-05T20:25:23Z
52238008,André Alvarenga,94659,19,52341531,2017-09-25T00:01:31Z
52241820,adrianojbr,2339960,35,62471047,2018-09-11T01:08:15Z
52241822,adrianojbr,2339960,16,59488216,2018-06-02T15:33:31Z
52241823,adrianojbr,2339960,13,54495558,2017-12-09T20:14:54Z
52241824,adrianojbr,2339960,12,51893169,2017-09-09T22:17:05Z
52241825,adrianojbr,2339960,11,59488216,2018-06-02T15:33:31Z
52241826,adrianojbr,2339960,6,51893169,2017-09-09T22:17:05Z
52241827,adrianojbr,2339960,16,65511989,2018-12-15T23:32:39Z
52241828,adrianojbr,2339960,23,64715745,2018-11-20T22:04:56Z
52241829,André Alvarenga,94659,16,62008581,2018-08-26T14:47:35Z
52241830,adrianojbr,2339960,19,58744067,2018-05-07T02:33:39Z
52241831,adrianojbr,2339960,13,52105234,2017-09-16T21:26:59Z
52241879,adrianojbr,2339960,17,52105234,2017-09-16T21:26:59Z
52241880,adrianojbr,2339960,16,52105234,2017-09-16T21:26:59Z
52242170,André Alvarenga,94659,25,59325184,2018-05-28T01:22:36Z
52242333,André Alvarenga,94659,22,66213773,2019-01-11T02:16:43Z
52242334,adrianojbr,2339960,7,49642450,2017-06-18T19:37:13Z
52242336,André Alvarenga,94659,17,53454814,2017-11-02T15:24:07Z
52242338,André Alvarenga,94659,18,67712913,2019-03-02T12:54:06Z
52404339,adrianojbr,2339960,17,59313935,2018-05-27T13:48:46Z
52430037,adrianojbr,2339960,13,52105234,2017-09-16T21:27:00Z
52430039,André Alvarenga,94659,36,63596102,2018-10-17T02:41:18Z
52430040,André Alvarenga,94659,23,59552444,2018-06-05T00:35:43Z
52430042,adrianojbr,2339960,11,52105234,2017-09-16T21:27:01Z
52430043,adrianojbr,2339960,14,52105234,2017-09-16T21:27:01Z
52430045,André Alvarenga,94659,16,60232356,2018-06-28T01:40:25Z
52430046,adrianojbr,2339960,14,51893169,2017-09-09T22:17:08Z
52430047,André Alvarenga,94659,15,57257618,2018-03-17T03:13:36Z
52430048,André Alvarenga,94659,24,65728496,2018-12-24T02:50:15Z
52432813,André Alvarenga,94659,14,63996476,2018-10-30T02:00:24Z
52432814,adrianojbr,2339960,10,57228787,2018-03-16T01:45:42Z
52433450,adrianojbr,2339960,17,58744067,2018-05-07T02:33:40Z
52433451,adrianojbr,2339960,15,53781697,2017-11-14T19:52:30Z
52433452,adrianojbr,2339960,9,53897768,2017-11-18T11:36:09Z
52433453,adrianojbr,2339960,8,53861094,2017-11-17T00:26:40Z
52433458,adrianojbr,2339960,14,52105234,2017-09-16T21:27:02Z
52433461,adrianojbr,2339960,31,52105234,2017-09-16T21:27:03Z
52433463,adrianojbr,2339960,7,49642450,2017-06-18T19:37:16Z
52433466,adrianojbr,2339960,8,51893169,2017-09-09T22:17:10Z
52433468,adrianojbr,2339960,18,52105234,2017-09-16T21:27:03Z
52433469,adrianojbr,2339960,16,52105234,2017-09-16T21:27:03Z
52433471,adrianojbr,2339960,19,51893169,2017-09-09T22:17:11Z
52434121,André Alvarenga,94659,25,65729027,2018-12-24T03:34:27Z
52434123,adrianojbr,2339960,19,52105234,2017-09-16T21:27:03Z
52434125,adrianojbr,2339960,28,52105234,2017-09-16T21:27:04Z
52434126,adrianojbr,2339960,19,51893169,2017-09-09T22:17:12Z
52434128,adrianojbr,2339960,11,52105234,2017-09-16T21:27:04Z
52434131,adrianojbr,2339960,15,60157018,2018-06-25T17:01:14Z
52434132,André Alvarenga,94659,24,59886639,2018-06-16T01:18:25Z
52434133,adrianojbr,2339960,33,52105234,2017-09-16T21:27:04Z
52434134,adrianojbr,2339960,11,51893169,2017-09-09T22:17:13Z
52434135,André Alvarenga,94659,12,59886639,2018-06-16T01:18:25Z
52434136,André Alvarenga,94659,12,59886639,2018-06-16T01:18:26Z
52549288,adrianojbr,2339960,18,59615993,2018-06-06T22:04:08Z
52549289,André Alvarenga,94659,14,67907540,2019-03-08T02:52:43Z
52549290,adrianojbr,2339960,35,52105234,2017-09-16T21:27:05Z
52549291,adrianojbr,2339960,9,49602457,2017-06-16T21:09:26Z
